GILMAN CITY MO - HOFFMAN &amp; REED - Soybeans Basis,
"Week
",2014
1,
2,
3,
4,
5,
6,
7,
8,-0.2775
9,-0.2713
10,-0.1025
11,-0.0975
12,-0.0525
13,-0.09
14,-0.385
15,-0.355
16,-0.25
17,-0.2375
18,0.4325
19,0.405
20,0.3975
21,0.2275
22,1.005
23,1.095
24,0.6325
25,2.0825
26,
27,
28,
29,-0.8475
30,-0.8975
31,-0.85
32,-0.855
33,-0.8588
34,-0.9025
35,-0.7475
36,-0.7475
37,-0.75
38,-0.7525
39,-0.75
40,
41,
42,
43,
44,
45,
46,
47,
48,
